team_id	year	team_wins	team_loss	team_points	ratio	salaryTot	salaryAvg	salaryAvgFormat	salaryTotFormat
ATL	2001	33	49	7711	0.402	49328373	3794490	$ 3,794,490	$ 49,328,373
BOS	2001	49	33	7901	0.598	47469112	3164607	$ 3,164,607	$ 47,469,112
CHI	2001	21	61	7335	0.256	42003707	2800247	$ 2,800,247	$ 42,003,707
CLE	2001	29	53	7812	0.354	45924974	3061664	$ 3,061,664	$ 45,924,974
DAL	2001	57	25	8629	0.695	54002589	3600172	$ 3,600,172	$ 54,002,589
DEN	2001	27	55	7559	0.329	51833723	3455581	$ 3,455,581	$ 51,833,723
DET	2001	50	32	7738	0.61	41711427	2780761	$ 2,780,761	$ 41,711,427
GSW	2001	21	61	8009	0.256	47173177	3369512	$ 3,369,512	$ 47,173,177
HOU	2001	28	54	7572	0.341	46694419	3112961	$ 3,112,961	$ 46,694,419
IND	2001	42	40	7938	0.512	47211121	3372222	$ 3,372,222	$ 47,211,121
LAC	2001	39	43	7846	0.476	26393932	2030302	$ 2,030,302	$ 26,393,932
LAL	2001	58	24	8304	0.707	52985249	3784660	$ 3,784,660	$ 52,985,249
MEM	2001	23	59	7372	0.28	50289143	3592081	$ 3,592,081	$ 50,289,143
MIA	2001	36	46	7150	0.439	52916216	3527747	$ 3,527,747	$ 52,916,216
MIL	2001	41	41	7996	0.5	54044202	4157246	$ 4,157,246	$ 54,044,202
MIN	2001	50	32	8145	0.61	54176815	3869772	$ 3,869,772	$ 54,176,815
NJN	2001	52	30	7889	0.634	47863993	3418856	$ 3,418,856	$ 47,863,993
NYK	2001	30	52	7514	0.366	66175175	4726798	$ 4,726,798	$ 66,175,175
ORL	2001	44	38	8240	0.537	47691151	3406510	$ 3,406,510	$ 47,691,151
PHI	2001	43	39	7461	0.524	57769276	3851285	$ 3,851,285	$ 57,769,276
PHO	2001	36	46	7802	0.439	50846916	3389794	$ 3,389,794	$ 50,846,916
POR	2001	49	33	7925	0.598	83996421	5599761	$ 5,599,761	$ 83,996,421
SAC	2001	61	21	8578	0.744	54763038	4212541	$ 4,212,541	$ 54,763,038
SAS	2001	58	24	7932	0.707	42867150	3061939	$ 3,061,939	$ 42,867,150
TOR	2001	42	40	7494	0.512	51691285	3446085	$ 3,446,085	$ 51,691,285
UTA	2001	44	38	7871	0.537	53642315	4126331	$ 4,126,331	$ 53,642,315
WAS	2001	37	45	7609	0.451	31273694	2233835	$ 2,233,835	$ 31,273,694
ATL	2002	35	47	7714	0.427	56426301	3761753	$ 3,761,753	$ 56,426,301
BOS	2002	44	38	7599	0.537	53767553	3840539	$ 3,840,539	$ 53,767,553
CHI	2002	30	52	7786	0.366	42706133	2847075	$ 2,847,075	$ 42,706,133
CLE	2002	17	65	7495	0.207	33783084	3071189	$ 3,071,189	$ 33,783,084
DAL	2002	60	22	8444	0.732	70780199	4718679	$ 4,718,679	$ 70,780,199
DEN	2002	17	65	6901	0.207	38985480	3248790	$ 3,248,790	$ 38,985,480
DET	2002	50	32	7492	0.61	47392093	3159472	$ 3,159,472	$ 47,392,093
GSW	2002	38	44	8400	0.463	47380387	3948365	$ 3,948,365	$ 47,380,387
HOU	2002	43	39	7686	0.524	47269865	3376418	$ 3,376,418	$ 47,269,865
IND	2002	48	34	7940	0.585	53472323	3819451	$ 3,819,451	$ 53,472,323
LAC	2002	27	55	7693	0.329	36027564	2401837	$ 2,401,837	$ 36,027,564
LAL	2002	50	32	8230	0.61	62577317	4813639	$ 4,813,639	$ 62,577,317
MEM	2002	28	54	7995	0.341	45746014	3049734	$ 3,049,734	$ 45,746,014
MIA	2002	25	57	7016	0.305	57640868	3842724	$ 3,842,724	$ 57,640,868
MIL	2002	42	40	8158	0.512	59979330	4613794	$ 4,613,794	$ 59,979,330
MIN	2002	51	31	8046	0.622	59549520	3969968	$ 3,969,968	$ 59,549,520
NJN	2002	49	33	7820	0.598	56012919	3734194	$ 3,734,194	$ 56,012,919
NOH	2002	47	35	7699	0.573	45193882	3228134	$ 3,228,134	$ 45,193,882
NYK	2002	37	45	7860	0.451	76504165	5100277	$ 5,100,277	$ 76,504,165
ORL	2002	42	40	8078	0.512	43936968	3138354	$ 3,138,354	$ 43,936,968
PHI	2002	48	34	7943	0.585	56571572	3771438	$ 3,771,438	$ 56,571,572
PHO	2002	44	38	7834	0.537	55225080	3944648	$ 3,944,648	$ 55,225,080
POR	2002	50	32	7803	0.61	91000860	6066724	$ 6,066,724	$ 91,000,860
SAC	2002	59	23	8342	0.72	70416596	4694439	$ 4,694,439	$ 70,416,596
SAS	2002	60	22	7856	0.732	52817688	4062899	$ 4,062,899	$ 52,817,688
TOR	2002	24	58	7453	0.293	49679365	3311957	$ 3,311,957	$ 49,679,365
UTA	2002	47	35	7762	0.573	50516753	3367783	$ 3,367,783	$ 50,516,753
WAS	2002	37	45	7502	0.451	36532342	2435489	$ 2,435,489	$ 36,532,342
ATL	2003	28	54	7611	0.341	29183440	2244880	$ 2,244,880	$ 29,183,440
BOS	2003	36	46	7811	0.439	57812177	4817681	$ 4,817,681	$ 57,812,177
CHI	2003	23	59	7355	0.28	41322190	2951585	$ 2,951,585	$ 41,322,190
CLE	2003	35	47	7619	0.427	50338880	3146180	$ 3,146,180	$ 50,338,880
DAL	2003	52	30	8626	0.634	95987088	6399139	$ 6,399,139	$ 95,987,088
DEN	2003	43	39	7972	0.524	46883814	3125587	$ 3,125,587	$ 46,883,814
DET	2003	54	28	7388	0.659	52634889	3759634	$ 3,759,634	$ 52,634,889
GSW	2003	37	45	7649	0.451	44225165	3685430	$ 3,685,430	$ 44,225,165
HOU	2003	45	37	7362	0.549	58332783	3888852	$ 3,888,852	$ 58,332,783
IND	2003	61	21	7493	0.744	75432752	4437220	$ 4,437,220	$ 75,432,752
LAC	2003	28	54	7771	0.341	46518542	3101236	$ 3,101,236	$ 46,518,542
LAL	2003	56	26	8052	0.683	65138976	4342598	$ 4,342,598	$ 65,138,976
MEM	2003	50	32	7930	0.61	59075657	3938377	$ 3,938,377	$ 59,075,657
MIA	2003	42	40	7402	0.512	57876947	3858463	$ 3,858,463	$ 57,876,947
MIL	2003	41	41	8039	0.5	34557522	2658270	$ 2,658,270	$ 34,557,522
MIN	2003	58	24	7753	0.707	70123371	5394105	$ 5,394,105	$ 70,123,371
NJN	2003	47	35	7401	0.573	44713384	3439491	$ 3,439,491	$ 44,713,384
NOH	2003	41	41	7529	0.5	32386856	2491296	$ 2,491,296	$ 32,386,856
NYK	2003	39	43	7542	0.476	94659993	7888332	$ 7,888,332	$ 94,659,993
ORL	2003	21	61	7711	0.256	67390203	4813585	$ 4,813,585	$ 67,390,203
PHI	2003	33	49	7215	0.402	64225539	4281702	$ 4,281,702	$ 64,225,539
PHO	2003	29	53	7723	0.354	36369533	3306321	$ 3,306,321	$ 36,369,533
POR	2003	41	41	7440	0.5	78687727	5620551	$ 5,620,551	$ 78,687,727
SAC	2003	55	27	8433	0.671	57886869	4452836	$ 4,452,836	$ 57,886,869
SAS	2003	57	25	7501	0.695	47526392	3168426	$ 3,168,426	$ 47,526,392
TOR	2003	33	49	7006	0.402	53051390	3789385	$ 3,789,385	$ 53,051,390
UTA	2003	42	40	7271	0.512	38795714	2984285	$ 2,984,285	$ 38,795,714
WAS	2003	25	57	7528	0.305	48797362	3253157	$ 3,253,157	$ 48,797,362
ATL	2004	13	69	7605	0.159	29183440	2244880	$ 2,244,880	$ 29,183,440
BOS	2004	45	37	8304	0.549	57812177	4817681	$ 4,817,681	$ 57,812,177
CHI	2004	47	35	7745	0.573	41322190	2951585	$ 2,951,585	$ 41,322,190
CHR	2004	18	64	7729	0.22	17086511	1314347	$ 1,314,347	$ 17,086,511
CLE	2004	42	40	7914	0.512	50338880	3146180	$ 3,146,180	$ 50,338,880
DAL	2004	58	24	8405	0.707	95987088	6399139	$ 6,399,139	$ 95,987,088
DEN	2004	49	33	8161	0.598	46883814	3125587	$ 3,125,587	$ 46,883,814
DET	2004	54	28	7653	0.659	52634889	3759634	$ 3,759,634	$ 52,634,889
GSW	2004	34	48	8094	0.415	44225165	3685430	$ 3,685,430	$ 44,225,165
HOU	2004	51	31	7796	0.622	58332783	3888852	$ 3,888,852	$ 58,332,783
IND	2004	44	38	7626	0.537	75432752	4437220	$ 4,437,220	$ 75,432,752
LAC	2004	37	45	7849	0.451	46518542	3101236	$ 3,101,236	$ 46,518,542
LAL	2004	34	48	8095	0.415	65138976	4342598	$ 4,342,598	$ 65,138,976
MEM	2004	45	37	7661	0.549	59075657	3938377	$ 3,938,377	$ 59,075,657
MIA	2004	59	23	8327	0.72	57876947	3858463	$ 3,858,463	$ 57,876,947
MIL	2004	30	52	7973	0.366	34557522	2658270	$ 2,658,270	$ 34,557,522
MIN	2004	44	38	7934	0.537	70123371	5394105	$ 5,394,105	$ 70,123,371
NJN	2004	42	40	7496	0.512	44713384	3439491	$ 3,439,491	$ 44,713,384
NOH	2004	18	64	7252	0.22	32386856	2491296	$ 2,491,296	$ 32,386,856
NYK	2004	33	49	7977	0.402	94659993	7888332	$ 7,888,332	$ 94,659,993
ORL	2004	36	46	8160	0.439	67390203	4813585	$ 4,813,585	$ 67,390,203
PHI	2004	43	39	8128	0.524	64225539	4281702	$ 4,281,702	$ 64,225,539
PHO	2004	62	20	9054	0.756	36369533	3306321	$ 3,306,321	$ 36,369,533
POR	2004	27	55	7621	0.329	78687727	5620551	$ 5,620,551	$ 78,687,727
SAC	2004	50	32	8505	0.61	57886869	4452836	$ 4,452,836	$ 57,886,869
SAS	2004	59	23	7888	0.72	47526392	3168426	$ 3,168,426	$ 47,526,392
TOR	2004	33	49	8178	0.402	53051390	3789385	$ 3,789,385	$ 53,051,390
UTA	2004	26	56	7625	0.317	38795714	2984285	$ 2,984,285	$ 38,795,714
WAS	2004	45	37	8241	0.549	48797362	3253157	$ 3,253,157	$ 48,797,362
ATL	2005	26	56	7972	0.317	73264898	2817880	$ 2,817,880	$ 73,264,898
BOS	2005	33	49	8033	0.402	105190044	3756787	$ 3,756,787	$ 105,190,044
CHI	2005	41	41	8020	0.5	75315544	2510518	$ 2,510,518	$ 75,315,544
CHR	2005	26	56	7943	0.317	60627290	2165260	$ 2,165,260	$ 60,627,290
CLE	2005	50	32	8002	0.61	103637144	3454571	$ 3,454,571	$ 103,637,144
DAL	2005	60	22	8130	0.732	136542804	4551426	$ 4,551,426	$ 136,542,804
DEN	2005	44	38	8227	0.537	107688920	3589630	$ 3,589,630	$ 107,688,920
DET	2005	64	18	7941	0.78	112821758	4029348	$ 4,029,348	$ 112,821,758
GSW	2005	34	48	8076	0.415	114915048	4104108	$ 4,104,108	$ 114,915,048
HOU	2005	34	48	7387	0.415	104704026	3490134	$ 3,490,134	$ 104,704,026
IND	2005	41	41	7699	0.5	133133540	5120520	$ 5,120,520	$ 133,133,540
LAC	2005	47	35	7970	0.573	102565580	3418852	$ 3,418,852	$ 102,565,580
LAL	2005	45	37	8154	0.549	108431668	3614388	$ 3,614,388	$ 108,431,668
MEM	2005	49	33	7558	0.598	129239540	4307984	$ 4,307,984	$ 129,239,540
MIA	2005	52	30	8191	0.634	119302936	3976764	$ 3,976,764	$ 119,302,936
MIL	2005	40	42	8020	0.488	112980494	3766016	$ 3,766,016	$ 112,980,494
MIN	2005	33	49	7522	0.402	108517312	3875618	$ 3,875,618	$ 108,517,312
NJN	2005	49	33	7691	0.598	123195800	4738300	$ 4,738,300	$ 123,195,800
NOO	2005	38	44	7611	0.463	87233490	2907783	$ 2,907,783	$ 87,233,490
NYK	2005	23	59	7842	0.28	185808208	6193606	$ 6,193,606	$ 185,808,208
ORL	2005	36	46	7784	0.439	105847784	3528259	$ 3,528,259	$ 105,847,784
PHI	2005	38	44	8147	0.463	119493262	4595894	$ 4,595,894	$ 119,493,262
PHO	2005	54	28	8886	0.659	119390840	4263958	$ 4,263,958	$ 119,390,840
POR	2005	21	61	7285	0.256	102184376	3649442	$ 3,649,442	$ 102,184,376
SAC	2005	44	38	8106	0.537	121055700	4323417	$ 4,323,417	$ 121,055,700
SAS	2005	63	19	7837	0.768	159269716	5688204	$ 5,688,204	$ 159,269,716
TOR	2005	27	55	8287	0.329	69119992	2468571	$ 2,468,571	$ 69,119,992
UTA	2005	41	41	7573	0.5	115512572	3850419	$ 3,850,419	$ 115,512,572
WAS	2005	42	40	8336	0.512	100487962	3349598	$ 3,349,598	$ 100,487,962
ATL	2006	30	52	7680	0.366	47812036	3187469	$ 3,187,469	$ 47,812,036
BOS	2006	24	58	7857	0.293	53620490	3574699	$ 3,574,699	$ 53,620,490
CHI	2006	49	33	8100	0.598	54699276	3646618	$ 3,646,618	$ 54,699,276
CHR	2006	33	49	7945	0.402	41961743	2797449	$ 2,797,449	$ 41,961,743
CLE	2006	50	32	7934	0.61	61030472	4359319	$ 4,359,319	$ 61,030,472
DAL	2006	67	15	8201	0.817	64821094	4630078	$ 4,630,078	$ 64,821,094
DEN	2006	45	37	8639	0.549	65000230	5000017	$ 5,000,017	$ 65,000,230
DET	2006	53	29	7872	0.646	75517622	5034508	$ 5,034,508	$ 75,517,622
GSW	2006	42	40	8737	0.512	62120690	4437192	$ 4,437,192	$ 62,120,690
HOU	2006	52	30	7953	0.634	62627349	4175156	$ 4,175,156	$ 62,627,349
IND	2006	35	47	7840	0.427	61526247	4101749	$ 4,101,749	$ 61,526,247
LAC	2006	40	42	7843	0.488	58202032	3880135	$ 3,880,135	$ 58,202,032
LAL	2006	42	40	8474	0.512	60631869	4330847	$ 4,330,847	$ 60,631,869
MEM	2006	22	60	8331	0.268	47055458	3137030	$ 3,137,030	$ 47,055,458
MIA	2006	44	38	7759	0.537	78203790	5213586	$ 5,213,586	$ 78,203,790
MIL	2006	28	54	8172	0.341	54633510	3642234	$ 3,642,234	$ 54,633,510
MIN	2006	32	50	7877	0.39	66734452	4766746	$ 4,766,746	$ 66,734,452
NJN	2006	41	41	8001	0.5	64870209	4054388	$ 4,054,388	$ 64,870,209
NOO	2006	39	43	7833	0.476	53171676	3544778	$ 3,544,778	$ 53,171,676
NYK	2006	33	49	7994	0.402	81672615	5444841	$ 5,444,841	$ 81,672,615
ORL	2006	40	42	7771	0.488	60527557	4035170	$ 4,035,170	$ 60,527,557
PHI	2006	35	47	7785	0.427	44407250	3415942	$ 3,415,942	$ 44,407,250
PHO	2006	61	21	9037	0.744	82440784	5888627	$ 5,888,627	$ 82,440,784
POR	2006	32	50	7717	0.39	64751726	4625123	$ 4,625,123	$ 64,751,726
SAC	2006	33	49	8303	0.402	61065219	4697324	$ 4,697,324	$ 61,065,219
SAS	2006	58	24	8079	0.707	65645095	4376339	$ 4,376,339	$ 65,645,095
TOR	2006	47	35	8157	0.573	42223168	2814877	$ 2,814,877	$ 42,223,168
UTA	2006	51	31	8322	0.622	60325348	4640411	$ 4,640,411	$ 60,325,348
WAS	2006	41	41	8556	0.5	61853822	4123588	$ 4,123,588	$ 61,853,822
ATL	2007	37	45	8054	0.451	58531493	3902099	$ 3,902,099	$ 58,531,493
BOS	2007	66	16	8245	0.805	73812248	5272303	$ 5,272,303	$ 73,812,248
CHI	2007	33	49	7981	0.402	62413599	3900849	$ 3,900,849	$ 62,413,599
CHR	2007	32	50	7959	0.39	51725077	3232817	$ 3,232,817	$ 51,725,077
CLE	2007	45	37	7903	0.549	79043364	5269557	$ 5,269,557	$ 79,043,364
DAL	2007	51	31	8234	0.622	87825870	4622414	$ 4,622,414	$ 87,825,870
DEN	2007	50	32	9074	0.61	81177202	5411813	$ 5,411,813	$ 81,177,202
DET	2007	59	23	7992	0.72	66561030	4754359	$ 4,754,359	$ 66,561,030
GSW	2007	48	34	9105	0.585	74239480	4124415	$ 4,124,415	$ 74,239,480
HOU	2007	55	27	7931	0.671	77637117	4086164	$ 4,086,164	$ 77,637,117
IND	2007	36	46	8527	0.439	66879374	4179960	$ 4,179,960	$ 66,879,374
LAC	2007	23	59	7692	0.28	63202582	3717798	$ 3,717,798	$ 63,202,582
LAL	2007	57	25	8904	0.695	69978984	4998498	$ 4,998,498	$ 69,978,984
MEM	2007	22	60	8257	0.268	54472106	3890864	$ 3,890,864	$ 54,472,106
MIA	2007	15	67	7491	0.183	74736115	4671007	$ 4,671,007	$ 74,736,115
MIL	2007	26	56	7956	0.317	62317859	4154523	$ 4,154,523	$ 62,317,859
MIN	2007	22	60	7839	0.268	51128758	3007574	$ 3,007,574	$ 51,128,758
NJN	2007	34	48	7857	0.415	66609387	5123799	$ 5,123,799	$ 66,609,387
NOH	2007	56	26	8270	0.683	60331047	3770690	$ 3,770,690	$ 60,331,047
NYK	2007	23	59	7948	0.28	92817398	5801087	$ 5,801,087	$ 92,817,398
ORL	2007	52	30	8567	0.634	61841463	4122764	$ 4,122,764	$ 61,841,463
PHI	2007	40	42	7923	0.488	57777929	3398701	$ 3,398,701	$ 57,777,929
PHO	2007	55	27	9026	0.671	71227313	5087665	$ 5,087,665	$ 71,227,313
POR	2007	41	41	7820	0.5	57200851	3813390	$ 3,813,390	$ 57,200,851
SAC	2007	38	44	8408	0.463	50531216	3158201	$ 3,158,201	$ 50,531,216
SAS	2007	56	26	7820	0.683	72459350	5175667	$ 5,175,667	$ 72,459,350
TOR	2007	41	41	8215	0.5	63762305	3985144	$ 3,985,144	$ 63,762,305
UTA	2007	54	28	8710	0.659	54683522	4206424	$ 4,206,424	$ 54,683,522
WAS	2007	43	39	8104	0.524	61133847	5094487	$ 5,094,487	$ 61,133,847
ATL	2008	47	35	8046	0.573	68607953	4287997	$ 4,287,997	$ 68,607,953
BOS	2008	62	20	8275	0.756	78738973	6056844	$ 6,056,844	$ 78,738,973
CHI	2008	41	41	8378	0.5	71400091	4760006	$ 4,760,006	$ 71,400,091
CHR	2008	35	47	7677	0.427	68004277	4250267	$ 4,250,267	$ 68,004,277
CLE	2008	66	16	8223	0.805	90794387	6052959	$ 6,052,959	$ 90,794,387
DAL	2008	50	32	8343	0.61	92503500	6166900	$ 6,166,900	$ 92,503,500
DEN	2008	54	28	8555	0.659	67068631	5159125	$ 5,159,125	$ 67,068,631
DET	2008	39	43	7727	0.476	77046985	5926691	$ 5,926,691	$ 77,046,985
GSW	2008	29	53	8905	0.354	64549630	3227481	$ 3,227,481	$ 64,549,630
HOU	2008	53	29	8070	0.646	69577785	4638519	$ 4,638,519	$ 69,577,785
IND	2008	36	46	8617	0.439	69623798	4351487	$ 4,351,487	$ 69,623,798
LAC	2008	19	63	7799	0.232	61883344	3437963	$ 3,437,963	$ 61,883,344
LAL	2008	65	17	8768	0.793	80745793	5383052	$ 5,383,052	$ 80,745,793
MEM	2008	24	58	7698	0.293	66460021	4430668	$ 4,430,668	$ 66,460,021
MIA	2008	43	39	8061	0.524	54346083	3019226	$ 3,019,226	$ 54,346,083
MIL	2008	34	48	8142	0.415	70220238	4681349	$ 4,681,349	$ 70,220,238
MIN	2008	24	58	8019	0.293	63525735	3970358	$ 3,970,358	$ 63,525,735
NJN	2008	34	48	8044	0.415	62425445	3901590	$ 3,901,590	$ 62,425,445
NOH	2008	49	33	7857	0.598	67017804	4786986	$ 4,786,986	$ 67,017,804
NYK	2008	32	50	8627	0.39	97085751	6472383	$ 6,472,383	$ 97,085,751
OKC	2008	23	59	7952	0.28	61567564	3240398	$ 3,240,398	$ 61,567,564
ORL	2008	59	23	8286	0.72	69117198	4936942	$ 4,936,942	$ 69,117,198
PHI	2008	41	41	7987	0.5	72861445	5204388	$ 5,204,388	$ 72,861,445
PHO	2008	46	36	8974	0.561	75449279	5389234	$ 5,389,234	$ 75,449,279
POR	2008	54	28	8153	0.659	56154803	3743653	$ 3,743,653	$ 56,154,803
SAC	2008	17	65	8248	0.207	71075103	4738340	$ 4,738,340	$ 71,075,103
SAS	2008	54	28	7958	0.659	68403480	3800193	$ 3,800,193	$ 68,403,480
TOR	2008	33	49	8121	0.402	95358923	5609348	$ 5,609,348	$ 95,358,923
UTA	2008	48	34	8492	0.585	66266407	4417760	$ 4,417,760	$ 66,266,407
WAS	2008	19	63	7877	0.232	69176589	4941184	$ 4,941,184	$ 69,176,589
ATL	2009	53	29	8338	0.646	70198210	4129306	$ 4,129,306	$ 70,198,210
BOS	2009	50	32	8136	0.61	84815811	4989165	$ 4,989,165	$ 84,815,811
CHI	2009	41	41	7993	0.5	78469779	3566808	$ 3,566,808	$ 78,469,779
CHR	2009	44	38	7813	0.537	73084292	3846541	$ 3,846,541	$ 73,084,292
CLE	2009	61	21	8373	0.744	116902727	5082727	$ 5,082,727	$ 116,902,727
DAL	2009	55	27	8364	0.671	88312340	5887489	$ 5,887,489	$ 88,312,340
DEN	2009	53	29	8729	0.646	75580222	4723763	$ 4,723,763	$ 75,580,222
DET	2009	27	55	7709	0.329	62757140	3922321	$ 3,922,321	$ 62,757,140
GSW	2009	26	56	8922	0.317	70639719	2716912	$ 2,716,912	$ 70,639,719
HOU	2009	42	40	8395	0.512	92713977	3863082	$ 3,863,082	$ 92,713,977
IND	2009	32	50	8263	0.39	70516057	3917558	$ 3,917,558	$ 70,516,057
LAC	2009	29	53	7849	0.354	32158856	2473758	$ 2,473,758	$ 32,158,856
LAL	2009	57	25	8339	0.695	77203679	5938744	$ 5,938,744	$ 77,203,679
MEM	2009	40	42	8404	0.488	83230241	4623902	$ 4,623,902	$ 83,230,241
MIA	2009	47	35	7914	0.573	77135159	4059745	$ 4,059,745	$ 77,135,159
MIL	2009	46	36	8009	0.561	76227006	3811350	$ 3,811,350	$ 76,227,006
MIN	2009	15	67	8051	0.183	77455197	3367617	$ 3,367,617	$ 77,455,197
NJN	2009	12	70	7575	0.146	66383879	3493888	$ 3,493,888	$ 66,383,879
NOH	2009	37	45	8220	0.451	74250064	4950004	$ 4,950,004	$ 74,250,064
NYK	2009	29	53	8373	0.354	114338560	5716928	$ 5,716,928	$ 114,338,560
OKC	2009	50	32	8322	0.61	66171801	2450807	$ 2,450,807	$ 66,171,801
ORL	2009	59	23	8426	0.72	82329491	5880677	$ 5,880,677	$ 82,329,491
PHI	2009	27	55	8014	0.329	69926347	4113314	$ 4,113,314	$ 69,926,347
PHO	2009	54	28	9039	0.659	79428800	4412711	$ 4,412,711	$ 79,428,800
POR	2009	50	32	8045	0.61	84469848	3839538	$ 3,839,538	$ 84,469,848
SAC	2009	25	57	8200	0.305	61120985	3216893	$ 3,216,893	$ 61,120,985
SAS	2009	50	32	8312	0.61	77276044	3359828	$ 3,359,828	$ 77,276,044
TOR	2009	40	42	8534	0.488	75601958	3600093	$ 3,600,093	$ 75,601,958
UTA	2009	53	29	8547	0.646	75213100	5014206	$ 5,014,206	$ 75,213,100
WAS	2009	26	56	7892	0.317	63456429	3339812	$ 3,339,812	$ 63,456,429